學年度,學期,學校,,,系所名稱,學制,對方學校（機構）國別(地區),對方學校(機構)名稱,,本國學生出國進修、交流人數,,
,,設立別,類別,名稱,,,,中文名稱,英文名稱,小計,男,女
101,1,公立,一般大學,國立政治大學,英國語文學系,學士班(日間),法國,PGSM巴黎高等管理學院,POLE ECOLE SUPERIEURE DE GESTION,1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),德意志聯邦共和國,哥廷根大學,UNIVERSITY OF GOTTINGEN,1,0,1
101,1,公立,一般大學,國立政治大學,日本語文學系,碩士班(日間),日本,早稻田大學,WASEDA UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,日本語文學系,碩士班(日間),日本,東京外國語大學,TOKYO UNIVERSITY OF FOREIGN STUDIES,1,0,1
101,1,公立,一般大學,國立政治大學,語言學研究所,碩士班(日間),美國,北愛荷華大學,UNIVERSITY OF NORTHERN IOWA,1,1,0
101,1,公立,一般大學,國立政治大學,台灣史研究所,碩士班(日間),大韓民國(南韓),成均館大學,SUNGKYUNKWAN UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,台灣史研究所,碩士班(日間),日本,廣島大學,HIROSHIMA UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,歷史學系,博士班,日本,東京大學,UNIVERSITY OF TOKYO,1,1,0
101,1,公立,一般大學,國立政治大學,哲學系,學士班(日間),德意志聯邦共和國,布萊梅大學,UNIVERSITY OF BREMEN,1,0,1
101,1,公立,一般大學,國立政治大學,哲學系,博士班,德意志聯邦共和國,柏林自由大學,FREIE UNIVERSITAT BERLIN,1,1,0
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),大陸地區,中國人民大學,Renmin University of China,1,0,1
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),大韓民國(南韓),韓國外國語大學,HANKUK UNIVERSITY OF FOREIGN STUDIES,1,0,1
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),法國,魯昂商學院,ROUEN BUSINESS SCHOOL,1,0,1
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),芬蘭共和國,漢肯經濟學院,HANKEN SCHOOL OF ECONOMICS,1,0,1
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),美國,史丹福大學,Stanford University,1,0,1
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),香港,香港大學,"HONG KONG UNIVERSITY, THE",1,0,1
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),香港,香港城市大學,CITY UNIVERSITY OF HONG KONG,1,0,1
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),香港,香港浸會大學,HONG KONG BAPTIST UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),瑞典王國,哈爾姆斯塔德大學,HALMSTAD UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),葡萄牙共和國,天主教大學,Universidade Catolica Portuguesa,1,0,1
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),加拿大,蒙特婁商學院,HEC MONTREAL,1,0,1
101,1,公立,一般大學,國立政治大學,經濟學系,碩士班(日間),大陸地區,上海交通大學,Shanghai Jiao Tong University,1,1,0
101,1,公立,一般大學,國立政治大學,政治學系,學士班(日間),立陶宛共和國,維爾紐斯大學,VILNIUS UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,政治學系,學士班(日間),美國,史丹福大學,Stanford University,1,0,1
101,1,公立,一般大學,國立政治大學,政治學系,學士班(日間),義大利共和國,卡洛‧卡坦尼奧自由大學,UNIVERSITY CARLO CATTANEO,1,0,1
101,1,公立,一般大學,國立政治大學,社會學系,學士班(日間),摩洛哥王國,拉巴特政府與經濟學院,THE ECOLE DE GOUVERNANCE ET DECONOMIE DE RABAT,1,1,0
101,1,公立,一般大學,國立政治大學,心理學系,學士班(日間),大陸地區,華東師範大學,East China Normal University,1,0,1
101,1,公立,一般大學,國立政治大學,心理學系,學士班(日間),波蘭共和國,華沙大學,UNIVERSITY OF WARSAW,1,0,1
101,1,公立,一般大學,國立政治大學,心理學系,學士班(日間),美國,康乃狄克大學,UNIVERSITY OF CONNECTICUT,1,0,1
101,1,公立,一般大學,國立政治大學,心理學系,學士班(日間),荷蘭王國,提堡大學,TILBURG UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,心理學系,碩士班(日間),挪威王國,挪威經濟管理學院,NORWEGIAN SCHOOL OF ECONOMICS AND BUSINESS ADMINISTRATION,1,0,1
101,1,公立,一般大學,國立政治大學,亞太研究英語碩士學位學程,碩士班(日間),德意志聯邦共和國,基爾大學,UNIVERSITY OF KIEL,1,0,1
101,1,公立,一般大學,國立政治大學,公共行政學系,學士班(日間),大陸地區,南開大學,Nankai University,1,0,1
101,1,公立,一般大學,國立政治大學,公共行政學系,學士班(日間),捷克共和國,奧斯特拉瓦科技大學,V?B - TECHNICAL UNIVERSITY OF OSTRAVA,1,0,1
101,1,公立,一般大學,國立政治大學,公共行政學系,學士班(日間),荷蘭王國,葛洛寧恩大學,UNIVERSITY OF GRONINGEN,1,1,0
101,1,公立,一般大學,國立政治大學,公共行政學系,學士班(日間),德意志聯邦共和國,法蘭克福金融與管理學院,FRANKFURT SCHOOL OF FINANCE & MANAGEMENT,1,0,1
101,1,公立,一般大學,國立政治大學,公共行政學系,學士班(日間),德意志聯邦共和國,齊柏林大學,ZEPPELIN UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,地政學系,學士班(日間),大陸地區,北京大學,Peking University,2,0,2
101,1,公立,一般大學,國立政治大學,地政學系,學士班(日間),大陸地區,南京大學,Nanjing University,1,0,1
101,1,公立,一般大學,國立政治大學,地政學系,學士班(日間),大陸地區,清華大學,Tsinghua University,1,0,1
101,1,公立,一般大學,國立政治大學,地政學系,學士班(日間),大陸地區,復旦大學,Fudan University,1,1,0
101,1,公立,一般大學,國立政治大學,地政學系,學士班(日間),大陸地區,華東師範大學,East China Normal University,1,0,1
101,1,公立,一般大學,國立政治大學,地政學系,學士班(日間),法國,斯凱瑪高等商業管理學院,SKEMA Business School,1,1,0
101,1,公立,一般大學,國立政治大學,地政學系,學士班(日間),美國,伊利諾州立大學,ILLINOIS STATE UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),土耳其共和國,畢爾坎特大學,BILKENT UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),大陸地區,中國人民大學,Renmin University of China,1,1,0
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),日本,慶應義塾大學,KEIO UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),西班牙王國,馬德里卡洛斯三世大學,UNIVERSIDAD CARLOS III DE MADRID,1,1,0
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),波蘭共和國,華沙大學,UNIVERSITY OF WARSAW,1,0,1
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),法國,巴黎高等政治學院,Sciences Po,1,1,0
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),法國,圖盧茲商學院,TOULOUSE BUSINESS SCHOOL,1,0,1
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),俄羅斯聯邦,喀山聯邦大學,KAZAN FEDERAL UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),美國,伊利諾州立大學,ILLINOIS STATE UNIVERSITY,2,0,2
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),美國,美利堅大學,AMERICAN UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),美國,斯克蘭頓大學,UNIVERSITY OF SCRANTON,1,0,1
